Date,Transaction Description,Category,Amount,Type
2024-08-23,Hotstar,Entertainment,299,Debit
2023-06-16,Starbucks,Food,273,Debit
2024-04-17,Flipkart,Shopping,380,Debit
2023-04-12,Zomato,Food,1101,Debit
2024-09-11,Starbucks,Food,432,Debit
2023-05-30,Ola,Transport,854,Debit
2023-01-03,Ola,Transport,927,Debit
2024-07-06,Swiggy,Food,169,Debit
2023-08-29,Salary,Income,50000,Credit
2023-05-01,Google Drive,Cloud,130,Debit
2024-05-26,Uber,Transport,443,Debit
2023-01-01,Google Drive,Cloud,130,Debit
2024-07-12,Ola,Transport,436,Debit
2023-01-26,Uber,Transport,967,Debit
2024-01-26,Amazon Prime,Shopping,149,Debit
2024-09-25,Ola,Transport,390,Debit
2023-02-04,Ola,Transport,991,Debit
2024-01-08,Swiggy,Food,750,Debit
2023-05-17,Uber,Transport,1091,Debit
2024-10-23,Flipkart,Shopping,1014,Debit
2024-04-02,Amazon,Shopping,311,Debit
2024-12-30,Starbucks,Food,661,Debit
2023-10-28,Uber,Transport,821,Debit
2023-10-19,Zomato,Food,472,Debit
2024-08-27,Swiggy,Food,764,Debit
2023-09-12,Swiggy,Food,833,Debit
2024-08-17,Swiggy,Food,658,Debit
2023-06-30,Mobile Recharge,Utilities,438,Debit
2024-07-15,Swiggy,Food,709,Debit
2023-07-31,Amazon,Shopping,445,Debit
2024-06-04,Ola,Transport,647,Debit
2024-08-26,Ola,Transport,1076,Debit
2024-11-15,Swiggy,Food,1197,Debit
2024-11-17,Uber,Transport,1045,Debit
2023-01-15,Uber,Transport,173,Debit
2024-09-12,Amazon,Shopping,504,Debit
2024-05-10,Ola,Transport,855,Debit
2023-05-22,Starbucks,Food,926,Debit
2024-04-25,Zomato,Food,277,Debit
2023-09-08,Zomato,Food,892,Debit
2023-05-25,Starbucks,Food,541,Debit
2024-03-30,Starbucks,Food,710,Debit
2024-05-28,Starbucks,Food,508,Debit
2024-11-22,Uber,Transport,409,Debit
2024-09-03,Starbucks,Food,358,Debit
2024-08-05,Ola,Transport,824,Debit
2023-09-13,Zomato,Food,290,Debit
2023-06-21,Uber,Transport,216,Debit
2024-10-25,Uber,Transport,762,Debit
2023-08-09,Zomato,Food,508,Debit
2023-04-29,Zomato,Food,205,Debit
2023-11-02,Ola,Transport,978,Debit
2023-01-25,Starbucks,Food,1016,Debit
2023-02-19,Swiggy,Food,289,Debit
2024-06-30,Swiggy,Food,454,Debit
2023-05-31,Electricity Bill,Utilities,1142,Debit
2024-12-14,Amazon,Shopping,779,Debit
2023-04-02,Amazon,Shopping,506,Debit
2023-05-01,Spotify,Music,119,Debit
2024-04-09,Amazon,Shopping,1124,Debit
2024-02-10,Zomato,Food,522,Debit
2024-09-17,Ola,Transport,1157,Debit
2024-10-31,Starbucks,Food,936,Debit
2023-11-16,Uber,Transport,737,Debit
2023-08-25,Flipkart,Shopping,385,Debit
2023-03-25,Swiggy,Food,1039,Debit
2023-01-01,Internet Bill,Utilities,940,Debit
2024-04-25,Apple Music,Music,99,Debit
2023-04-01,Salary,Income,50000,Credit
2023-11-23,Flipkart,Shopping,842,Debit
2023-04-27,Swiggy,Food,946,Debit
2023-07-15,Amazon,Shopping,474,Debit
2024-10-22,Electricity Bill,Utilities,1459,Debit
2023-04-20,Starbucks,Food,315,Debit
2023-11-10,Starbucks,Food,463,Debit
2024-04-25,Amazon,Shopping,392,Debit
2023-08-20,Uber,Transport,430,Debit
2024-11-04,Swiggy,Food,767,Debit
2023-10-06,Ola,Transport,874,Debit
2024-11-27,Starbucks,Food,386,Debit
2023-11-27,Salary,Income,50000,Credit
2023-03-22,Ola,Transport,828,Debit
2023-10-28,Mobile Recharge,Utilities,425,Debit
2024-01-19,Ola,Transport,236,Debit
2024-02-08,Flipkart,Shopping,988,Debit
2023-03-26,Amazon,Shopping,792,Debit
2024-04-25,Spotify,Music,119,Debit
2023-10-28,Amazon Prime,Shopping,149,Debit
2024-02-28,Starbucks,Food,790,Debit
2024-08-03,Zomato,Food,773,Debit
2024-02-19,Uber,Transport,1078,Debit
2024-04-19,Amazon,Shopping,840,Debit
2024-09-20,Zomato,Food,1086,Debit
2024-10-19,Amazon,Shopping,344,Debit
2024-06-08,Starbucks,Food,230,Debit
2023-05-01,Netflix,Entertainment,499,Debit
2023-09-23,Ola,Transport,213,Debit
2023-03-30,Starbucks,Food,783,Debit
2024-03-20,Ola,Transport,499,Debit
2023-08-13,Starbucks,Food,762,Debit
2023-07-21,Uber,Transport,155,Debit
2023-12-18,Swiggy,Food,961,Debit
2023-11-20,Ola,Transport,361,Debit
2023-07-24,Uber,Transport,922,Debit
2023-09-16,Swiggy,Food,202,Debit
2024-03-05,Ola,Transport,424,Debit
2023-05-22,Ola,Transport,815,Debit
2023-02-21,Starbucks,Food,317,Debit
2024-03-11,Zomato,Food,1192,Debit
2023-10-05,Starbucks,Food,272,Debit
2023-09-22,Zomato,Food,238,Debit
2024-10-11,Flipkart,Shopping,730,Debit
2024-12-03,Starbucks,Food,913,Debit
2024-10-02,Uber,Transport,409,Debit
2023-03-03,Amazon,Shopping,468,Debit
2023-07-15,Starbucks,Food,640,Debit
2024-09-01,Ola,Transport,1029,Debit
2023-07-14,Ola,Transport,1142,Debit
2023-06-28,Starbucks,Food,1161,Debit
2023-07-10,Ola,Transport,261,Debit
2023-11-08,Starbucks,Food,547,Debit
2024-01-14,Uber,Transport,532,Debit
2024-07-08,Starbucks,Food,237,Debit
2024-02-14,Zomato,Food,712,Debit
2024-10-27,Amazon,Shopping,442,Debit
2023-12-29,Amazon,Shopping,444,Debit
2023-03-13,Zomato,Food,360,Debit
2023-07-16,Ola,Transport,340,Debit
2023-04-03,Ola,Transport,809,Debit
2024-08-28,Flipkart,Shopping,852,Debit
2024-06-08,Flipkart,Shopping,299,Debit
2023-07-26,Flipkart,Shopping,991,Debit
2024-08-08,Amazon,Shopping,1155,Debit
2024-12-24,Ola,Transport,397,Debit
2024-09-13,Zomato,Food,1152,Debit
2023-10-20,Uber,Transport,1057,Debit
2024-11-26,Uber,Transport,472,Debit
2024-03-10,Uber,Transport,844,Debit
2023-12-22,Flipkart,Shopping,1117,Debit
2023-07-30,Google Drive,Cloud,130,Debit
2023-11-26,Uber,Transport,457,Debit
2024-12-27,Uber,Transport,232,Debit
2024-08-21,Amazon,Shopping,602,Debit
2023-11-08,Uber,Transport,452,Debit
2023-08-05,Ola,Transport,490,Debit
2024-08-09,Flipkart,Shopping,954,Debit
2023-03-31,Ola,Transport,755,Debit
2023-01-11,Starbucks,Food,1160,Debit
2023-02-05,Amazon,Shopping,844,Debit
2023-04-29,Ola,Transport,205,Debit
2024-09-16,Flipkart,Shopping,936,Debit
2024-12-20,Amazon,Shopping,818,Debit
2024-03-23,Ola,Transport,567,Debit
2024-01-04,Uber,Transport,183,Debit
2024-10-30,Swiggy,Food,436,Debit
2024-11-21,Salary,Income,50000,Credit
2023-10-04,Amazon,Shopping,913,Debit
2023-08-27,Amazon,Shopping,963,Debit
2024-06-20,Amazon,Shopping,1154,Debit
2024-12-02,Zomato,Food,1002,Debit
2023-10-11,Starbucks,Food,697,Debit
2024-05-22,Starbucks,Food,249,Debit
2024-05-12,Flipkart,Shopping,427,Debit
2023-12-23,Swiggy,Food,188,Debit
2024-01-13,Swiggy,Food,903,Debit
2024-01-28,Flipkart,Shopping,683,Debit
2023-05-06,Amazon,Shopping,290,Debit
2024-01-07,Uber,Transport,508,Debit
2023-05-31,Apple Music,Music,99,Debit
2023-06-08,Ola,Transport,1052,Debit
2024-09-28,Flipkart,Shopping,271,Debit
2024-03-26,Netflix,Entertainment,499,Debit
2023-03-12,Uber,Transport,580,Debit
2023-10-12,Zomato,Food,709,Debit
2024-04-06,Swiggy,Food,996,Debit
2023-06-30,Google Drive,Cloud,130,Debit
2024-02-09,Uber,Transport,301,Debit
2023-11-29,Amazon,Shopping,822,Debit
2023-08-18,Starbucks,Food,871,Debit
2024-11-20,Swiggy,Food,175,Debit
2023-09-21,Flipkart,Shopping,891,Debit
2024-11-21,Apple Music,Music,99,Debit
2024-12-06,Flipkart,Shopping,728,Debit
2023-11-03,Zomato,Food,1092,Debit
2024-05-25,Salary,Income,50000,Credit
2024-08-26,Ola,Transport,349,Debit
2023-01-22,Swiggy,Food,643,Debit
2024-12-20,Flipkart,Shopping,954,Debit
2023-04-01,Amazon Prime,Shopping,149,Debit
2023-12-21,Amazon,Shopping,836,Debit
2024-02-04,Flipkart,Shopping,1161,Debit
2024-11-21,Internet Bill,Utilities,893,Debit
2023-05-12,Swiggy,Food,788,Debit
2023-03-24,Starbucks,Food,693,Debit
2023-12-16,Ola,Transport,451,Debit
2024-12-10,Flipkart,Shopping,550,Debit
2023-07-30,Salary,Income,50000,Credit
2023-12-01,Starbucks,Food,891,Debit
2023-03-02,Netflix,Entertainment,499,Debit
2024-06-10,Zomato,Food,390,Debit
2023-12-27,Electricity Bill,Utilities,1095,Debit
2024-08-30,Ola,Transport,624,Debit
2023-04-05,Uber,Transport,836,Debit
2024-10-22,Mobile Recharge,Utilities,430,Debit
2024-03-16,Starbucks,Food,838,Debit
2024-11-23,Amazon,Shopping,391,Debit
2024-03-19,Ola,Transport,693,Debit
2024-06-08,Zomato,Food,594,Debit
2024-12-21,Salary,Income,50000,Credit
2023-02-24,Swiggy,Food,1088,Debit
2024-12-15,Ola,Transport,272,Debit
2023-05-01,Mobile Recharge,Utilities,486,Debit
2023-08-06,Swiggy,Food,814,Debit
2024-04-25,Internet Bill,Utilities,824,Debit
2023-10-20,Swiggy,Food,317,Debit
2023-08-15,Swiggy,Food,635,Debit
2023-11-05,Ola,Transport,785,Debit
2023-05-31,Uber,Transport,1079,Debit
2023-05-28,Ola,Transport,185,Debit
2024-10-16,Swiggy,Food,888,Debit
2024-07-17,Zomato,Food,928,Debit
2023-03-09,Swiggy,Food,379,Debit
2024-02-23,Flipkart,Shopping,803,Debit
2023-08-21,Swiggy,Food,897,Debit
2023-08-28,Uber,Transport,403,Debit
2024-03-15,Starbucks,Food,802,Debit
2024-08-23,Electricity Bill,Utilities,1429,Debit
2023-07-30,Electricity Bill,Utilities,1558,Debit
2023-03-07,Swiggy,Food,157,Debit
2024-09-04,Ola,Transport,383,Debit
2023-11-20,Flipkart,Shopping,853,Debit
2024-05-27,Starbucks,Food,602,Debit
2024-09-12,Zomato,Food,1146,Debit
2024-12-22,Zomato,Food,373,Debit
2023-05-08,Zomato,Food,1119,Debit
2023-11-22,Ola,Transport,1049,Debit
2023-09-14,Uber,Transport,452,Debit
2023-08-29,Spotify,Music,119,Debit
2023-04-09,Flipkart,Shopping,299,Debit
2024-06-18,Uber,Transport,621,Debit
2024-08-29,Starbucks,Food,507,Debit
2024-06-23,Flipkart,Shopping,249,Debit
2024-03-18,Starbucks,Food,780,Debit
2024-03-24,Starbucks,Food,1115,Debit
2023-02-04,Ola,Transport,260,Debit
2024-02-11,Starbucks,Food,263,Debit
2024-05-16,Flipkart,Shopping,157,Debit
2024-04-06,Zomato,Food,257,Debit
2024-05-22,Zomato,Food,240,Debit
2024-06-22,Starbucks,Food,219,Debit
2024-10-27,Swiggy,Food,167,Debit
2024-09-22,Mobile Recharge,Utilities,536,Debit
2024-04-20,Flipkart,Shopping,1025,Debit
2023-08-30,Ola,Transport,201,Debit
2024-05-25,Netflix,Entertainment,499,Debit
2023-07-15,Uber,Transport,178,Debit
2023-04-28,Amazon,Shopping,978,Debit
2023-09-29,Ola,Transport,617,Debit
2023-07-06,Uber,Transport,993,Debit
2023-10-10,Flipkart,Shopping,720,Debit
2024-01-02,Starbucks,Food,1189,Debit
2024-06-06,Flipkart,Shopping,909,Debit
2024-01-04,Uber,Transport,288,Debit
2023-12-12,Amazon,Shopping,1052,Debit
2023-10-24,Uber,Transport,1146,Debit
2024-07-26,Starbucks,Food,340,Debit
2023-01-16,Uber,Transport,378,Debit
2024-04-16,Amazon,Shopping,1161,Debit
2023-05-04,Uber,Transport,1013,Debit
2023-01-07,Ola,Transport,1089,Debit
2024-03-22,Swiggy,Food,1053,Debit
2023-08-29,Apple Music,Music,99,Debit
2023-05-24,Uber,Transport,722,Debit
2024-01-16,Ola,Transport,519,Debit
2023-08-02,Uber,Transport,964,Debit
2024-03-25,Zomato,Food,574,Debit
2024-11-03,Starbucks,Food,733,Debit
2023-09-30,Ola,Transport,1001,Debit
2024-02-08,Starbucks,Food,991,Debit
2023-03-05,Amazon,Shopping,690,Debit
2024-06-12,Starbucks,Food,885,Debit
2024-05-02,Ola,Transport,890,Debit
2024-07-29,Amazon,Shopping,929,Debit
2024-01-26,Netflix,Entertainment,499,Debit
2023-10-09,Flipkart,Shopping,371,Debit
2024-10-29,Flipkart,Shopping,594,Debit
2023-11-05,Amazon,Shopping,845,Debit
2023-09-07,Zomato,Food,1058,Debit
2024-05-02,Swiggy,Food,1185,Debit
2024-11-14,Amazon,Shopping,462,Debit
2024-07-22,Ola,Transport,887,Debit
2023-09-19,Zomato,Food,693,Debit
2024-04-29,Amazon,Shopping,915,Debit
2024-10-18,Ola,Transport,775,Debit
2023-09-10,Flipkart,Shopping,1081,Debit
2024-08-16,Ola,Transport,1187,Debit
2023-02-27,Uber,Transport,733,Debit
2024-03-26,Hotstar,Entertainment,299,Debit
2023-09-28,Internet Bill,Utilities,810,Debit
2024-08-12,Flipkart,Shopping,746,Debit
2024-04-04,Zomato,Food,373,Debit
2024-03-07,Swiggy,Food,548,Debit
2023-10-31,Ola,Transport,236,Debit
2023-11-14,Uber,Transport,1189,Debit
2023-12-15,Swiggy,Food,405,Debit
2024-06-20,Flipkart,Shopping,1150,Debit
2023-06-05,Amazon,Shopping,409,Debit
2024-08-22,Starbucks,Food,1174,Debit
2024-10-10,Ola,Transport,596,Debit
2023-10-30,Starbucks,Food,875,Debit
2023-05-01,Amazon Prime,Shopping,149,Debit
2024-07-29,Zomato,Food,434,Debit
2024-02-26,Zomato,Food,438,Debit
2024-10-17,Amazon,Shopping,488,Debit
2023-10-28,Swiggy,Food,165,Debit
2023-01-02,Starbucks,Food,500,Debit
2023-11-11,Flipkart,Shopping,1161,Debit
2023-04-01,Apple Music,Music,99,Debit
2024-03-01,Swiggy,Food,334,Debit
2023-06-24,Amazon,Shopping,455,Debit
2024-05-14,Swiggy,Food,422,Debit
2024-07-21,Uber,Transport,368,Debit
2023-07-07,Amazon,Shopping,970,Debit
2024-09-27,Zomato,Food,435,Debit
2023-12-10,Starbucks,Food,639,Debit
2024-10-28,Uber,Transport,586,Debit
2023-03-02,Apple Music,Music,99,Debit
2023-12-01,Swiggy,Food,892,Debit
2024-11-11,Uber,Transport,591,Debit
2024-03-24,Flipkart,Shopping,277,Debit
2024-07-21,Swiggy,Food,160,Debit
2024-12-11,Zomato,Food,163,Debit
2024-07-16,Starbucks,Food,918,Debit
2023-11-04,Ola,Transport,366,Debit
2023-03-10,Starbucks,Food,453,Debit
2024-08-23,Spotify,Music,119,Debit
2024-03-16,Starbucks,Food,1193,Debit
2023-12-21,Flipkart,Shopping,449,Debit
2024-02-10,Flipkart,Shopping,414,Debit
2023-10-14,Starbucks,Food,970,Debit
2024-11-26,Uber,Transport,263,Debit
2023-09-28,Netflix,Entertainment,499,Debit
2023-03-02,Mobile Recharge,Utilities,577,Debit
2024-07-08,Zomato,Food,582,Debit
2024-09-14,Flipkart,Shopping,885,Debit
2024-03-29,Amazon,Shopping,574,Debit
2024-03-12,Starbucks,Food,232,Debit
2024-08-13,Amazon,Shopping,1172,Debit
2023-01-14,Ola,Transport,280,Debit
2023-02-20,Flipkart,Shopping,631,Debit
2024-11-23,Flipkart,Shopping,700,Debit
2024-10-09,Swiggy,Food,1088,Debit
2023-02-13,Zomato,Food,971,Debit
2023-12-08,Amazon,Shopping,636,Debit
2024-12-29,Flipkart,Shopping,506,Debit
2024-09-26,Zomato,Food,868,Debit
2024-12-30,Swiggy,Food,1096,Debit
2024-04-05,Swiggy,Food,612,Debit
2024-04-01,Uber,Transport,236,Debit
2023-05-15,Starbucks,Food,397,Debit
2024-08-06,Uber,Transport,561,Debit
2023-02-05,Amazon,Shopping,351,Debit
2024-06-28,Swiggy,Food,712,Debit
2024-12-10,Uber,Transport,1160,Debit
2024-02-12,Zomato,Food,481,Debit
2023-01-06,Ola,Transport,698,Debit
2023-11-04,Uber,Transport,330,Debit
2024-05-16,Flipkart,Shopping,196,Debit
2024-10-01,Flipkart,Shopping,992,Debit
2023-03-02,Internet Bill,Utilities,959,Debit
2023-04-28,Amazon,Shopping,488,Debit
2023-03-02,Salary,Income,50000,Credit
2024-03-28,Zomato,Food,759,Debit
2024-03-17,Ola,Transport,184,Debit
2024-09-02,Zomato,Food,720,Debit
2024-05-08,Amazon,Shopping,194,Debit
2024-08-10,Starbucks,Food,518,Debit
2023-05-25,Starbucks,Food,170,Debit
2024-09-21,Starbucks,Food,1196,Debit
2024-12-23,Swiggy,Food,486,Debit
2024-01-07,Amazon,Shopping,1130,Debit
2024-05-25,Starbucks,Food,806,Debit
2023-09-07,Ola,Transport,722,Debit
2024-04-15,Uber,Transport,732,Debit
2024-04-03,Zomato,Food,563,Debit
2023-06-07,Swiggy,Food,175,Debit
2023-11-27,Hotstar,Entertainment,299,Debit
2023-05-13,Starbucks,Food,647,Debit
2023-08-15,Ola,Transport,885,Debit
2023-11-12,Zomato,Food,1050,Debit
2024-04-25,Salary,Income,50000,Credit
2023-06-30,Salary,Income,50000,Credit
2024-12-24,Ola,Transport,793,Debit
2023-04-15,Flipkart,Shopping,1056,Debit
2023-09-09,Amazon,Shopping,884,Debit
2023-12-27,Mobile Recharge,Utilities,496,Debit
2023-03-30,Amazon,Shopping,765,Debit
2023-08-14,Flipkart,Shopping,768,Debit
2024-09-05,Starbucks,Food,791,Debit
2024-06-19,Starbucks,Food,653,Debit
2023-07-17,Flipkart,Shopping,465,Debit
2024-06-29,Uber,Transport,185,Debit
2024-03-03,Swiggy,Food,726,Debit
2024-05-05,Amazon,Shopping,570,Debit
2023-04-15,Amazon,Shopping,799,Debit
2023-03-13,Uber,Transport,982,Debit
2024-11-17,Starbucks,Food,285,Debit
2023-05-03,Uber,Transport,583,Debit
2024-01-12,Uber,Transport,247,Debit
2023-01-31,Starbucks,Food,637,Debit
2023-05-25,Amazon,Shopping,715,Debit
2023-07-16,Ola,Transport,390,Debit
2023-12-29,Amazon,Shopping,645,Debit
2023-08-26,Flipkart,Shopping,612,Debit
2023-10-13,Uber,Transport,868,Debit
2023-09-04,Swiggy,Food,630,Debit
2024-03-20,Zomato,Food,646,Debit
2024-07-06,Starbucks,Food,1124,Debit
2023-03-28,Swiggy,Food,1043,Debit
2023-10-21,Ola,Transport,709,Debit
2023-04-11,Flipkart,Shopping,368,Debit
2023-01-05,Zomato,Food,215,Debit
2024-02-11,Flipkart,Shopping,404,Debit
2024-01-20,Amazon,Shopping,267,Debit
2023-05-01,Hotstar,Entertainment,299,Debit
2024-10-08,Starbucks,Food,155,Debit
2023-09-28,Ola,Transport,353,Debit
2024-07-07,Amazon,Shopping,828,Debit
2023-11-07,Starbucks,Food,383,Debit
2023-05-31,Spotify,Music,119,Debit
2024-01-27,Starbucks,Food,391,Debit
2024-02-18,Zomato,Food,1003,Debit
2023-05-08,Amazon,Shopping,384,Debit
2023-03-11,Uber,Transport,896,Debit
2024-06-09,Zomato,Food,831,Debit
2024-10-11,Uber,Transport,417,Debit
2023-03-27,Ola,Transport,539,Debit
2023-11-04,Zomato,Food,1042,Debit
2023-10-28,Electricity Bill,Utilities,1032,Debit
2023-02-26,Uber,Transport,290,Debit
2024-06-25,Amazon,Shopping,459,Debit
2023-10-28,Netflix,Entertainment,499,Debit
2024-02-22,Uber,Transport,444,Debit
2024-04-10,Amazon,Shopping,271,Debit
2024-01-02,Flipkart,Shopping,1189,Debit
2024-04-27,Flipkart,Shopping,786,Debit
2024-08-02,Uber,Transport,655,Debit
2024-06-24,Ola,Transport,431,Debit
2023-12-04,Swiggy,Food,755,Debit
2023-09-15,Flipkart,Shopping,446,Debit
2024-01-22,Swiggy,Food,408,Debit
2024-08-22,Zomato,Food,856,Debit
2024-11-16,Flipkart,Shopping,468,Debit
2023-07-05,Amazon,Shopping,364,Debit
2023-09-08,Swiggy,Food,902,Debit
2024-10-26,Ola,Transport,422,Debit
2024-01-17,Uber,Transport,755,Debit
2024-12-07,Uber,Transport,326,Debit
2023-05-01,Internet Bill,Utilities,891,Debit
2024-10-06,Ola,Transport,304,Debit
2024-10-22,Amazon Prime,Shopping,149,Debit
2024-02-03,Zomato,Food,434,Debit
2023-05-07,Swiggy,Food,213,Debit
2023-03-06,Ola,Transport,664,Debit
2024-06-27,Swiggy,Food,992,Debit
2023-09-12,Zomato,Food,407,Debit
2024-04-16,Zomato,Food,1182,Debit
2024-04-03,Flipkart,Shopping,705,Debit
2024-01-15,Flipkart,Shopping,319,Debit
2024-05-06,Swiggy,Food,1195,Debit
2024-07-10,Zomato,Food,794,Debit
2023-09-26,Zomato,Food,284,Debit
2024-11-18,Flipkart,Shopping,638,Debit
2023-12-27,Spotify,Music,119,Debit
2024-12-28,Zomato,Food,878,Debit
2023-06-10,Flipkart,Shopping,283,Debit
2023-03-14,Flipkart,Shopping,482,Debit
2023-03-28,Swiggy,Food,553,Debit
2023-06-03,Swiggy,Food,547,Debit
2024-08-09,Ola,Transport,724,Debit
2023-02-12,Ola,Transport,1144,Debit
2024-10-17,Swiggy,Food,911,Debit
2024-09-22,Electricity Bill,Utilities,1225,Debit
2024-08-04,Ola,Transport,830,Debit
2023-10-26,Zomato,Food,767,Debit
2024-08-26,Ola,Transport,863,Debit
2023-07-03,Amazon,Shopping,1157,Debit
2023-02-02,Flipkart,Shopping,983,Debit
2024-01-02,Uber,Transport,288,Debit
2024-07-27,Swiggy,Food,747,Debit
2023-10-25,Ola,Transport,262,Debit
2024-12-12,Starbucks,Food,859,Debit
2023-12-02,Zomato,Food,588,Debit
2024-05-25,Hotstar,Entertainment,299,Debit
2024-12-18,Swiggy,Food,277,Debit
2023-06-27,Amazon,Shopping,741,Debit
2023-07-20,Starbucks,Food,429,Debit
2023-05-31,Amazon,Shopping,827,Debit
2023-10-06,Starbucks,Food,825,Debit
2024-01-22,Swiggy,Food,633,Debit
2024-09-29,Starbucks,Food,494,Debit
2023-04-23,Swiggy,Food,573,Debit
2023-04-18,Uber,Transport,1050,Debit
2024-12-26,Swiggy,Food,472,Debit
2023-12-17,Zomato,Food,1073,Debit
2024-04-25,Amazon Prime,Shopping,149,Debit
2023-09-23,Swiggy,Food,1130,Debit
2024-11-21,Zomato,Food,173,Debit
2024-12-21,Mobile Recharge,Utilities,419,Debit
2024-02-17,Amazon,Shopping,692,Debit
2024-02-25,Apple Music,Music,99,Debit
2023-07-21,Flipkart,Shopping,1189,Debit
2023-04-24,Flipkart,Shopping,929,Debit
2023-06-07,Zomato,Food,1155,Debit
2023-09-21,Ola,Transport,1068,Debit
2024-04-24,Uber,Transport,173,Debit
2023-05-17,Swiggy,Food,1037,Debit
